1.163,4.328,9.277,0
1.007,4.273,8.585,20
1.106,4.299,8.552,19
1.17,4.34,8.662,20
1.146,4.369,9.088,21
1.034,4.352,8.688,19
1.302,4.252,8.121,20
1.572,4.376,7.687,21
1.788,4.407,7.539,19
1.23,3.979,7.407,20
1.405,3.33,7.366,21
2.796,4.074,8.714,19
2.779,3.153,8.64,20
3.169,3.433,8.267,20
2.319,3.134,8.884,20
1.403,2.698,10.623,20
1.347,2.746,11.051,21
1.673,2.588,10.752,20
1.831,2.624,9.84,19
2.214,2.636,8.935,21
2.755,2.667,8.382,20
3.134,2.671,7.692,19
3.201,2.741,7.57,21
2.557,2.703,8.097,20
1.831,2.365,8.779,19
1.728,2.578,10.077,20
1.96,2.561,10.273,21
2.085,2.291,9.643,19
2.667,2.511,8.808,20
2.279,2.207,8.37,21
2.027,1.814,8.324,19
2.817,1.941,8.808,20
3.15,2.008,10.007,21
2.856,1.972,10.132,19
2.403,1.9,9.49,20
2.279,1.288,9.739,21
2.48,1.007,8.987,21
2.817,2.075,10.417,19
3.397,2.779,9.868,20
2.116,1.793,9.564,21
1.781,1.608,9.684,20
2.468,2.346,9.5,19
2.561,2.624,8.602,21
2.099,2.54,7.781,20
1.563,2.516,6.191,19
2.286,2.624,6.749,21
-0.699,2.329,7.864,20
2.413,2.547,8.145,19
3.282,2.88,9.49,20
1.465,1.35,9.55,21
1.963,1.833,9.533,19
2.185,2.233,9.251,20
4.132,2.983,9.643,21
3.888,3.708,9.868,19
3.004,2.748,9.631,20
2.571,2.36,10.022,21
3.315,2.99,9.919,19
3.873,3.203,9.282,20
4.297,3.462,9.667,21
4.091,3.385,10.012,19
3.457,2.829,9.753,20
3.093,2.425,8.863,21
3.246,2.636,8.616,21
3.177,2.545,9.502,20
3.055,2.693,8.214,19
2.777,2.683,9.143,21
3.035,2.664,8.971,20
3.155,2.726,9.102,19
2.93,2.705,9.277,20
3.064,2.966,9.466,21
3.215,3.016,9.04,19
3.112,3.119,8.14,20
3.016,3.445,7.74,20
3.16,3.466,8.293,20
3.198,3.325,8.497,20
2.961,2.877,7.869,21
2.418,3.014,6.88,19
2.523,3.05,6.998,20
2.918,3.392,5.379,21
2.856,3.373,4.419,19
1.999,3.004,4.611,20
2.624,2.896,5.284,21
3.21,2.92,5.485,19
3.466,2.501,5.221,20
3.402,2.286,4.39,21
3.737,1.223,3.543,20
3.126,0.744,3.957,19
4.936,1.453,3.828,21
5.968,1.721,4.989,20
5.861,0.713,4.551,19
5.396,-0.591,4.015,21
4.589,-1.673,2.248,20
6.696,-1.252,1.687,19
8.669,-1.85,0.634,21
7.805,-2.861,1.589,20
7.625,-4.242,2.217,19
8.173,-5.42,2.743,20
8.556,-6.938,3.342,21
9.749,-7.783,4.355,19
10.754,-8.609,6.174,20
11.762,-8.319,8.918,21
12.524,-8.099,8.07,19
13.165,-7.773,6.387,20
13.431,-7.675,5.827,21
13.555,-7.445,6.198,19
14.381,-7.283,6.428,20
15.119,-7.024,5.973,21
15.909,-6.847,5.777,19
15.607,-5.985,6.469,20
15.368,-3.548,7.666,20
14.415,-1.431,8.329,20
12.727,-0.421,7.644,20
11.473,-0.541,7.199,21
11.185,-1.508,6.725,20
11.113,-3.277,6.603,19
11.631,-3.55,5.628,21
12.605,-3.773,5.43,20
14.106,-3.828,5.418,19
14.927,-3.986,5.346,20
14.894,-5.02,4.752,21
14.652,-6.344,4.072,19
14.264,-7.201,4.017,20
14.312,-7.129,4.429,21
14.439,-7.556,4.271,19
13.869,-8.039,3.402,20
12.574,-8.772,2.178,21
10.982,-8.829,1.64,19
9.311,-8.978,0.962,20
7.599,-8.475,0.77,21
7.048,-7.469,0.33,19
6.607,-6.675,-0.421,20
5.923,-5.87,-0.706,20
5.039,-5.372,-0.347,20
4.273,-5.176,-0.148,20
3.603,-5.437,-0.002,20
3.062,-5.027,0.198,21
3.256,-4.865,-0.09,19
3.531,-4.865,-0.404,21
3.541,-5.267,-0.404,20
3.897,-5.925,-0.181,19
4.551,-6.586,-0.079,20
5.284,-6.993,-0.114,21
6.756,-7.335,-0.081,19
8.25,-8.813,-0.512,21
9.363,-9.811,-0.426,20
10.381,-10.654,-0.098,19
10.493,-10.436,1.292,20
11.252,-8.418,2.614,21
12.117,-6.421,3.782,19
13.041,-5.25,3.921,20
13.299,-4.994,2.473,21
13.172,-5.482,0.584,19
13.125,-5.844,-1.012,20
13.505,-5.875,-1.254,21
13.682,-6.05,0.119,19
13.476,-5.906,1.192,20
12.82,-5.487,2.987,20
11.973,-4.52,3.766,20
10.97,-3.849,3.387,20
10.072,-3.483,3.055,20
9.686,-3.174,2.631,21
9.248,-3.019,2.111,19
8.757,-3.268,1.783,20
8.3,-3.122,2.123,21
8.276,-2.77,1.479,19
8.631,-2.509,0.905,20
8.832,-2.571,0.739,21
9.105,-2.674,0.689,19
9.392,-2.779,0.445,20
9.636,-3.138,0.577,21
10.591,-3.035,1.094,19
11.686,-2.911,1.309,20
12.382,-2.765,0.981,21
12.698,-2.616,0.438,19
