time,x_axis,y_axis,z_axis,activity
2020-08-13T17:58:00Z,0.385988170507852,0.457984907199674,0.674994901080971,Sitting
2020-08-13T17:58:00.020Z,0.410361003467265,0.429227003875178,0.712624923516214,Sitting
2020-08-13T17:58:00.040Z,0.386905975933102,0.412094635937181,0.792473995512951,Sitting
2020-08-13T17:58:00.060Z,0.360595553742607,0.385682235366102,0.84223944523761,Sitting
2020-08-13T17:58:00.080Z,0.355394656332857,0.401794819498266,0.826126861105446,Sitting
2020-08-13T17:58:00.100Z,0.41913114419743,0.444829696104426,0.775851519477871,Sitting
2020-08-13T17:58:00.120Z,0.413522333265348,0.403018560065266,0.703344890883133,Sitting
2020-08-13T17:58:00.140001Z,0.378135835202937,0.383030797470936,0.789822557617785,Sitting
2020-08-13T17:58:00.160001Z,0.36130940240669,0.355394656332857,0.916479706302264,Sitting
2020-08-13T17:58:00.180001Z,0.390373240872935,0.320008158270447,0.980216194166836,Sitting
2020-08-13T17:58:00.200001Z,0.462369977564756,0.377218029777687,0.882622883948603,Sitting
2020-08-13T17:58:00.220001Z,0.436059555374261,0.374260656740771,0.679176014684887,Sitting
2020-08-13T17:58:00.240Z,0.461146236997756,0.393330613909851,0.697022231286967,Sitting
2020-08-13T17:58:00.260Z,0.52243524372833,0.316642871711197,0.970222312869671,Sitting
2020-08-13T17:58:00.280Z,0.420864776667346,0.290230471140118,0.868651845808689,Sitting
2020-08-13T17:58:00.300Z,0.331735672037528,0.27952274117887,0.674281052416888,Sitting
2020-08-13T17:58:00.320Z,0.443300020395676,0.330511931470528,0.688965939220885,Sitting
2020-08-13T17:58:00.340Z,0.611360391596981,0.379869467672853,0.804405466041199,Sitting
2020-08-13T17:58:00.360Z,0.551295125433408,0.303691617377116,0.968998572302672,Sitting
2020-08-13T17:58:00.380001Z,0.444523760962676,0.220885172343463,0.858148072608607,Sitting
2020-08-13T17:58:00.400001Z,0.555374260656741,0.333265347746278,0.801244136243116,Sitting
2020-08-13T17:58:00.420001Z,0.590760758719151,0.373546808076688,0.688965939220885,Sitting
2020-08-13T17:58:00.440001Z,0.560065266163573,0.378645727105854,0.666020803589639,Sitting
2020-08-13T17:58:00.460001Z,0.533448908831328,0.358352029369774,0.950438507036508,Sitting
2020-08-13T17:58:00.480Z,0.2995105037732,0.126657148684479,0.871303283703855,Sitting
2020-08-13T17:58:00.500Z,0.473587599428921,0.290536406281868,0.618192943096064,Sitting
2020-08-13T17:58:00.520Z,0.702834998980216,0.392310830104018,0.524168876198246,Sitting
2020-08-13T17:58:00.540Z,0.621864164797063,0.202631042219049,0.685090760758719,Sitting
2020-08-13T17:58:00.560Z,0.509993881297165,0.08270446665307,0.86008566183969,Sitting
2020-08-13T17:58:00.580Z,0.490210075464002,0.092494391189068,0.884560473179686,Sitting
2020-08-13T17:58:00.600Z,0.674281052416888,0.195288598817051,0.758515194778707,Sitting
2020-08-13T17:58:00.620Z,0.826432796247195,0.363756883540689,0.646033040995309,Sitting
2020-08-13T17:58:00.640001Z,0.77829900061187,0.303385682235366,0.762900265143789,Sitting
2020-08-13T17:58:00.660001Z,0.679481949826637,0.269936773404038,0.867428105241689,Sitting
2020-08-13T17:58:00.680001Z,0.579849071996737,0.173771160513971,0.867632062002855,Sitting
2020-08-13T17:58:00.700001Z,0.623087905364063,0.258719151539873,0.595961656128901,Sitting
2020-08-13T17:58:00.720001Z,0.711197226188048,0.264124005710789,0.619824597185397,Sitting
2020-08-13T17:58:00.740Z,0.648378543748725,0.151845808688558,0.670609830715888,Sitting
2020-08-13T17:58:00.760Z,0.688761982459718,0.110544564552315,0.605241688761983,Sitting
2020-08-13T17:58:00.780Z,0.783907811543953,0.080766877421987,0.621048337752396,Sitting
2020-08-13T17:58:00.800Z,0.798796655109117,0.07933918009382,0.630838262288395,Sitting
2020-08-13T17:58:00.820Z,0.666938609014889,-0.02335304915358,0.751682643279625,Sitting
2020-08-13T17:58:00.840Z,0.687028349989802,-0.017030389557414,0.964103610034673,Sitting
2020-08-13T17:58:00.860Z,0.700897409749133,0.007546400163165,1.00173363246992,Sitting
2020-08-13T17:58:00.880001Z,0.835406893738527,0.055578217417907,0.947991025902508,Sitting
2020-08-13T17:58:00.900001Z,0.894044462573934,0.080766877421987,0.844992861513359,Sitting
2020-08-13T17:58:00.920001Z,0.811747909443198,0.077095655720987,0.513461146236998,Sitting
2020-08-13T17:58:00.940001Z,0.907199673669182,0.258515194778707,0.550275341627575,Sitting
2020-08-13T17:58:00.960001Z,0.708749745054049,0.063634509483989,0.385478278604936,Sitting
2020-08-13T17:58:00.980Z,0.69773607995105,0.3019579849072,0.390577197634102,Sitting
2020-08-13T17:58:01Z,0.679685906587803,0.257291454211707,0.547623903732409,Sitting
2020-08-13T17:58:01.020Z,0.59687946155415,0.129104629818478,0.763920048949623,Sitting
2020-08-13T17:58:01.040Z,0.802467876810116,0.305425249847032,1.04099530899449,Sitting
2020-08-13T17:58:01.060Z,0.68264327962472,0.092290434427901,0.851825413012441,Sitting
2020-08-13T17:58:01.080Z,0.731694880685295,0.27707526004487,0.625739343259229,Sitting
2020-08-13T17:58:01.100Z,0.774933714052621,0.303895574138283,0.584234142361819,Sitting
2020-08-13T17:58:01.120Z,0.753416275749541,0.217519885784214,0.737303691617377,Sitting
2020-08-13T17:58:01.140001Z,0.653273506016724,0.180399755251887,0.782684070976953,Sitting
2020-08-13T17:58:01.160001Z,0.692841117683051,0.249031205384458,0.696002447481134,Sitting
